Serial,Series,Season,Episode,Question,Answer,Comic Reference Needed?,Other External Knowledge,Other Series,Speculative
AAAS1E1_Q1,Agatha All Along,1,1,"In the Marvel Television opening title bumper, which specific comic book armor model is shown in the comic book flip sequence?",The armored fist shown in the rapidly flipping comic sequence is the Model 22 ThorBuster Armor worn by Iron Man from 2003's Invincible Iron Man #64.,Y,,,
AAAS1E1_Q2,Agatha All Along,1,1,"In Ep 1, why does John Collins (Herb) pronounce the word ""water"" as ""woter/wooder""? What show and sketch is this referencing?","Episode 1 parodies HBO's Mare of Easttown (where a girl is found dead in a creek). Herb's pronunciation ""woter"" reflects the local Philadelphia/Delaware Valley accent featured in Mare of Easttown and famously parodied in Saturday Night Live's ""Murder Durder"" sketch.",,Y,,
AAAS1E1_Q3,Agatha All Along,1,1,"In Ep 1, when Herb states that Jane Doe is ""really most sincerely dead,"" which classic work is this line directly quoted from?","The line is a direct quote from The Wizard of Oz, where the Coroner of Munchkinland pronounces the Wicked Witch of the East ""really most sincerely dead.""",,Y,,
AAAS1E1_Q4,Agatha All Along,1,1,"What real-world MCU milestone dates and creator birthdays are hidden on the Westview library checkout card for the Darkhold (""Dialogue and Rhetoric"")?","The library card checkout dates correspond to real MCU events and birthdays: Jan 18 (WandaVision Ep 3 release/birth of Billy & Tommy), Feb 16 (Elizabeth Olsen's birthday), Aug 28 (Jack Kirby's birthday), June 2 (Kevin Feige's birthday), and Dec 28 (Stan Lee's birthday).",,Y,WandaVision,
AAAS1E1_Q5,Agatha All Along,1,1,"What is the real-world historical significance of Dottie Jones's real name, Sarah Proctor?",Sarah Proctor was the real-world name of a 16-year-old girl in Salem Colony who was accused of witchcraft during the 1692 Salem Witch Trials.,,Y,,
AAAS1E1_Q6,Agatha All Along,1,1,"What famous 18th-century painting replaces the interrogation room's two-way mirror in Agatha's living room once the illusion glitches, and why is it significant?","The painting is ""Macbeth and the Three Witches"" by Francesco Zuccarelli. It references Shakespeare's Macbeth, which popularized the classic cultural archetype of witches huddled around a cauldron predicting the future.",,Y,,
AAAS1E1_Q7,Agatha All Along,1,1,"What Latin incantation does Teen chant during the interrogation scene, and what is its translation?","Teen chants ""Incar exeo feminum defix"", which translates to ""Incarnate exit, women fixed."" The plural ""women"" suggests the spell was designed for multiple witches to undo the Scarlet Witch's hex.",,Y,,Y
AAAS1E1_Q8,Agatha All Along,1,1,"In Ep 1, when Agatha transitions between her sitcom outfits in the morgue, she bumps into a swinging lamp. What filmmaking visual effects term does this homage?","It references the classic VFX phrase ""bumping the lamp,"" originating from Who Framed Roger Rabbit where practical lighting is moved to realistically integrate live-action elements with optical/visual effects.",,Y,,
AAAS1E2_Q1,Agatha All Along,1,2,"Why did the population count on the Westview welcome sign drop from 3,892 in WandaVision to 2,251 in Agatha All Along?","Over 1,600 residents moved away from Westview following the traumatic events of Wanda's hex, crippling the local economy and population.",,Y,WandaVision,
AAAS1E2_Q2,Agatha All Along,1,2,"When Lilia Calderu goes into a trance on the back of Three Star Rentals eviction notice, which tarot card does the geometric symbol on the notice originate from?","The symbol comes from the Three of Pentacles tarot card, which signifies teamwork, collaboration, learning, and working together to overcome challenges (foreshadowing the gathering of the coven).",,Y,,
AAAS1E2_Q3,Agatha All Along,1,2,Which animals appear in Episode 2 as disguised forms of the Salem 7 stalking Agatha and her coven?,"The Salem 7 spy on Agatha in animal forms including a crow (Bethany Curry), a rat (Britt Grant), a coyote (Chao Na), an owl (Alice Velbailey), and a cicada (Vertigo).",Y,,,
AAAS1E2_Q4,Agatha All Along,1,2,"In Ep 2, when the coven sings The Ballad of the Witches' Road to open the door, what famous Shakespeare line is recited before the song begins?","Agatha recites ""Fair is foul and foul is fair,"" spoken by the witches in Shakespeare's Macbeth to symbolize deception and inverted reality.",,Y,,
AAAS1E3_Q1,Agatha All Along,1,3,"Why does Agatha keep calling Sharon as Mrs. Hart, the character she played within the fictional rality created by Wanda in Wandavision?","At the end of WandaVision, Wanda absorbs all of Agatha's powers and punishes her by casting a spell on her that keeps Agatha trapped in the fictional reality as Agnes. Even after getting herself out of that spell, that spell might have impacted Agatha in a way that she still remembers Sharon by the fictional name of Mrs. Hart",,Y,WandaVision,Y
AAAS1E3_Q2,Agatha All Along,1,3,"(Before entering the beachhouse)
Sharon: Maybe this is the end
What event does this line foreshadow?",Sharon's death,,,,
AAAS1E3_Q3,Agatha All Along,1,3,"(After entering the beachhouse)
Sharon: Bury me in that kitchen
What event does this line foreshadow?",Sharon's death in the kitchen,,,,
AAAS1E3_Q4,Agatha All Along,1,3,"(After entering the beachhouse)
Agatha: Please God not a baby shower?
Why would Agatha say this?",If Agatha sacrificed her baby boy for the DarkHold then she would not want to be around babies,,,,
AAAS1E3_Q5,Agatha All Along,1,3,"Teen: A lot happened to me at 13 too.

Why could teen have said this?","The events of Agatha All Along occur 3 years after Wanda lifted the hex. now Teen is 16, so 3 years back, he would be 13. This means he might have some experience when the hex was lifted.",,Y,WandaVision,Y
AAAS1E3_Q6,Agatha All Along,1,3,"Jen: "".....gut of an eusocial insect....""
What is this?",Honey,,,,
AAAS1E3_Q7,Agatha All Along,1,3,Why does Sharon die even after she was given the potion?,"They never got a strand of Sharon's hair in the potion, leaving Sharon to die",,,,
AAAS1E3_Q8,Agatha All Along,1,3,"(The oven pops open after the first trial)
Lilia: That happened to a friend of mine once. She had a lovely house too.
Which fairy tale does this refer to?",Grim Brothers' Fairytale of Hansel and Gretel,,Y,,
AAAS1E3_Q9,Agatha All Along,1,3,"Agatha: Who's Sharon?
Why does Agatha not remember who Sharon is?","At the end of WandaVision, Wanda absorbs all of Agatha's powers and punishes her by casting a spell on her that keeps Agatha trapped in the fictional reality as Agnes. Even after getting herself out of that spell, that spell might have impacted Agatha in a way that she still remembers Sharon by the fictional name of Mrs. Hart",,Y,WandaVision,Y
AAAS1E4_Q1,Agatha All Along,1,4,"In Ep 4, Why did the leaves change color from previous trail?","Ep 3 it was a blue/indigo color to match the water trial at the beach house, now they are shades of red, orange, yellow to show the fire trial",,,,
AAAS1E4_Q2,Agatha All Along,1,4,"Ep 4
Agatha: Didn't think you had it in you.
Teen: Didn't think who had what in them?
Agatha winks, Teen seems disappointed. Why?","1. Teen might be angry at Agatha for dragging an innocent woman to a witch trial and for having callous attitute towards her death as he is digging the grave
2. Agatha doies not answer questions
3. He is probably reeling from Jen Kale's comments on what Agatha might have done to her Son",,,,
AAAS1E4_Q3,Agatha All Along,1,4,Why does Jen ask Alice about her whereabouts when Sharon needed protecting?,Alice is a protection witch,,,,
AAAS1E4_Q4,Agatha All Along,1,4,Alice wiped away a tear as the Ballad finished when the witches first sang it. Why?,"Her mother recorded the most famous cover of it, hence the song might remind her of her mother, thus making her emotional",,,,
AAAS1E4_Q5,Agatha All Along,1,4,"Teen says ""I wish we could go home"". Which other famous show is this line inspired by?",Wizard of Oz,,Y,,
AAAS1E4_Q6,Agatha All Along,1,4,Has Rio been on the Witches Road before the Series' events?,"Most likely not, as Rio's reaction to her surroundings was as if she is seeing the road for the first time. However, this could be performative as she knows the other 3 witches are listening to her.",,,,Y
AAAS1E4_Q7,Agatha All Along,1,4,"Why does Lilia have outbursts of an innocent but out-of-context dialogue, followed bya  dire warning at several times in the show?","Lilia is a divination witch, which could make her kind of unstuck in time, like Desmond in Lost, or Billy Pilgrim in Slaughterhouse 5",,Y,,Y
AAAS1E4_Q8,Agatha All Along,1,4,"Ep 4
Rio: I'm feeling like I want to cause some damage
Agatha: You are too early 
Why did Agatha say this?","Agatha probably always intended on Rio crashing this journey, sh just wanted to stall her arrival. Evidence of Agatha being not surprised by Sharon's death supports this. Also, after the invocation, she might have expected a green witch other than Rio, and hence was surprised at her early arrival",,,,Y
AAAS1E4_Q9,Agatha All Along,1,4,"When the player was sent in reverse, the song that played was very creepy. What inspired this piece of plot? ",Urban legend of Rock Bands hiding demonic/satanic messages which is apparently revealed when the song is played in reverse.,,Y,,
AAAS1E4_Q10,Agatha All Along,1,4,Camera zooms in on Alice's face through the hole. What is the show being referenced here?,Lewis Carrol Alice's Adventures in Wonderland,,Y,,
AAAS1E4_Q11,Agatha All Along,1,4,Why did Lorna Wu popularize the Witches' Ballad Song?,"Lorna Wu sold 40 million copies of the Ballad of the Witches' Road song. It is so popular that someone somewhere on Earth is always singing this song. Since this is a protection spell for her daugher Alice, it ensures that Alice is protected from the generational curse all the time.",,,,
AAAS1E5_Q1,Agatha All Along,1,5,"In Ep 5, what German word does Teen use to describe the witch's broom spell, and what is its translation?","Teen uses the term ""Hexenbesen"", which is German for ""witch's broom"".",,Y,,
AAAS1E5_Q2,Agatha All Along,1,5,"In Ep 5, what Latin incantation do the witches recite when passing broomsticks to each other, and what does it translate to?","They recite ""Pro te dilecta aperio viam"", which translates to ""For you, beloved, I open the way"" (derived from diligo, meaning to love or esteem).",,Y,,
AAAS1E5_Q3,Agatha All Along,1,5,"In Ep 5, how are the flying broomstick silhouettes against the blood moon framed, and which classic film does this shot pay tribute to?",The shots of the witches flying on broomsticks across the blood moon directly recreate the iconic moon-crossing silhouettes from Steven Spielberg's E.T. the Extra-Terrestrial.,,Y,,
AAAS1E5_Q4,Agatha All Along,1,5,"In Ep 5, what subtle audio detail can be heard buried in the musical mix when Agatha looks over at Rio while flying on the broomstick?","A distinct, distorted scream of a child is buried in the audio mix, representing the haunting memory/scream of her sacrificed son Nicholas Scratch.",,,,Y
AAAS1E5_Q5,Agatha All Along,1,5,"In Ep 5, what clothing detail on Teen's 80s cabin outfit nods to Wiccan's comic book costume design?","Teen wears a red-sleeved athletic shirt paired with a blue headband, matching the color scheme of Wiccan's original comic book look (and Billy's Halloween costume in WandaVision Ep 6).",Y,,WandaVision,
AAAS1E5_Q6,Agatha All Along,1,5,"When combining Lilia's out-of-context outbursts from Ep 3 (""try to save Agatha"") and Ep 4 (""Alice don't""), what complete warning message is revealed?","When put together chronologically, the warning reads: ""Alice, don't try to save Agatha."" This foresaw that saving Agatha from Evanora's ghost would cause Agatha to absorb Alice's life force/magic and kill her.",,,,
AAAS1E5_Q7,Agatha All Along,1,5,"In Ep 5, what age rating is printed on the back of the Ouija board directions, and why is this number significant?","The Ouija board states ""Ages 3 and up"" (instead of the standard 8+). This references both the Triple Goddess motif (Maiden, Mother, Crone) and the age Nicholas Scratch was when he died/was sacrificed (as revealed by his voice crying ""Mama stop"").",,Y,,Y
AAAS1E5_Q8,Agatha All Along,1,5,"In Ep 5, when Lilia shouts ""Knight of Wands!"" during the ghost attack, what does this tarot card represent?","The Knight of Wands tarot card represents decisive action, determination, and fire energy.",,Y,,
AAAS1E5_Q9,Agatha All Along,1,5,"In Ep 5, how does Agatha realize that Teen is NOT her son Nicholas Scratch?","Agatha hears the Ouija board spell out ""Nicholas Scratch"" while Teen is present, proving Teen cannot be Nicholas, which leads her to realize Teen is connected to Wanda Maximoff instead.",,,,
AAAS1E5_Q10,Agatha All Along,1,5,"In Ep 5, what famous soundtrack theme plays when Agatha flicks Teen's chin and says ""You're so much like your mother""?","The iconic end-credits theme music from WandaVision (composed by Christophe Beck) plays, confirming Teen's magical lineage and connection to Wanda Maximoff / The Scarlet Witch.",,Y,WandaVision,
AAAS1E5_Q11,Agatha All Along,1,5,"What design inspirations were used to forge Teen's blue crown, as revealed by costume designer Daniel Selon?","The crown was inspired by the concentric pattern lines in Damascus steel and ripples on the surface of water, finished with a blue chrome ombre paint treatment.",,Y,,
AAAS1E5_Q12,Agatha All Along,1,5,"In Ep 5, which tarot card depicted in the show's promotional art features a blue crown atop a struck tower, foreshadowing Teen's transformation?",The Tower tarot card features a blue crown at the top being struck by lightning as witches fall to their deaths.,,Y,,
